ID,pattern set,direction,period,step,phase
0,1,vertical,1920,4,-90
1,1,vertical,1920,4,0
2,1,vertical,1920,4,90
3,1,vertical,1920,4,180
4,1,vertical,240,4,-90
5,1,vertical,240,4,0
6,2,vertical,240,4,90
7,2,vertical,240,4,180
8,2,vertical,60,4,-90
9,2,vertical,60,4,0
10,2,vertical,60,4,90
11,2,vertical,60,4,180
12,3,vertical,15,6,0
13,3,vertical,15,6,60
14,3,vertical,15,6,120
15,3,vertical,15,6,180
16,3,vertical,15,6,240
17,3,vertical,15,6,300
18,4,horizontal,1920,4,-90
19,4,horizontal,1920,4,0
20,4,horizontal,1920,4,90
21,4,horizontal,1920,4,180
22,4,horizontal,240,4,-90
23,4,horizontal,240,4,0
24,5,horizontal,240,4,90
25,5,horizontal,240,4,180
26,5,horizontal,60,4,-90
27,5,horizontal,60,4,0
28,5,horizontal,60,4,90
29,5,horizontal,60,4,180
30,6,horizontal,15,6,0
31,6,horizontal,15,6,60
32,6,horizontal,15,6,120
33,6,horizontal,15,6,180
34,6,horizontal,15,6,240
35,6,horizontal,15,6,300
